distanceFront, distanceLeft, distanceRight, torque
1000, 0.7731784, 0.6968288, 0

1000, 0.7733, 0.6967067, 0

1000, 0.7734225, 0.6965851, 0

1000, 0.7735441, 0.6964625, 0

1000, 0.7736667, 0.6963404, 0

1000, 0.7737887, 0.6962184, 0

1000, 0.7737887, 0.6962184, 0

1000, 0.7739108, 0.6960964, 0

1000, 0.7747653, 0.6952418, 0

1000, 0.7748873, 0.6951202, 0

1000, 0.7748873, 0.6951202, 0

1000, 0.7750095, 0.6949977, 0

1.960016, 0.775131, 0.6948756, 0

1.920016, 0.7752531, 0.694754, 0

1.880016, 0.9853767, 0.6946315, 0

1.840016, 0.9854987, 0.6945094, 0

1.840016, 0.9854987, 0.6945094, 0

1.800016, 0.9856208, 0.6943873, 0

1.760016, 0.9857429, 0.6942657, 0

1.720016, 0.9858649, 0.6941432, 0

1.680016, 0.985987, 0.6940211, 0

1.640016, 0.9861086, 0.483898, 122.5843

1.640016, 0.9861086, 0.483898, 122.5843

1.600016, 0.9862311, 0.483776, 122.5965

1.561238, 0.9871256, 0.4840329, 122.6282

1.52522, 0.9881169, 0.4868932, 122.5353

1.703511, 0.9892103, 0.4923874, 0

1.674039, 0.9904045, 0.5005699, 0

1.674039, 0.9904045, 0.5005699, 0

1.634039, 0.9836239, 0.5073516, 0

1.594039, 0.9768417, 0.5141327, 0

1.554039, 0.9700611, 0.5209138, 0

1.514039, 1.120333, 0.5276954, 127.1623

1.514039, 1.120333, 0.5276954, 127.1623

1.474039, 1.169495, 0.5344756, 129.3664

1.446331, 1.17268, 0.5458964, 128.9351

1.421594, 1.176693, 0.560536, 128.3807

1.399567, 1.154993, 0.5784942, 126.3329

1.380217, 1.123202, 0.5999472, 123.6347

1.380217, 1.123202, 0.5999472, 123.6347

1.59042, 1.100827, 0.6249815, 0

1.579973, 1.085395, 0.6537065, 0

1.539973, 1.171635, 0.6722594, 0

1.499973, 1.161103, 0.6908121, 0

1.459973, 1.14255, 0.6522432, 0

1.459973, 1.14255, 0.6522432, 0

1.419973, 1.123997, 0.5660033, 125.3885

1.379973, 1.105445, 0.5149807, 127.0503

1.369038, 1.110467, 0.5451061, 125.7637

1.361617, 1.116458, 0.5797005, 124.3135

1.357174, 1.12285, 0.6189423, 122.6687

1.357174, 1.12285, 0.6189423, 122.6687

1.355792, 1.129601, 0.6632574, 0

1.357568, 1.136651, 0.7131307, 0

1.317568, 1.106097, 0.6870565, 0

1.277568, 1.095079, 0.6346899, 0

1.237568, 1.147445, 0.582323, 125.7515

1.237568, 1.147445, 0.582323, 125.7515

1.197567, 1.199813, 0.5710903, 129.0365

1.198864, 1.185294, 0.6231076, 125.6019

1.490071, 1.171298, 0.6829011, 0

1.512115, 1.160592, 0.6221152, 124.4002

1.472115, 1.200628, 0.5820787, 128.5053

1.472115, 1.200628, 0.5820787, 128.5053

1.49845, 1.190125, 0.558077, 129.2106

1.534924, 1.179528, 0.6332173, 124.7959

1.581507, 1.170066, 0.6801293, 0

1.636188, 1.163067, 0.6292302, 124.1664

1.636188, 1.163067, 0.6292302, 124.1664

1.596189, 1.190969, 0.6013286, 127.0078

1.660804, 1.184224, 0.5571269, 128.9515

1.744119, 1.177669, 0.5176783, 130.6828

1.850797, 1.171576, 0.4827178, 132.2215

1.988337, 1.166015, 0.5238608, 129.7412

1.988337, 1.166015, 0.5238608, 129.7412

1000, 1.161036, 0.6515393, 122.947

1000, 1.157223, 0.6245362, 124.1085

1000, 1.154927, 0.601845, 125.1391

1000, 1.152985, 0.5824552, 126.0275

1000, 1.151431, 0.5662356, 126.7792

1000, 1.151431, 0.5662356, 126.7792

1000, 1.150298, 0.5530779, 127.3988

1000, 1.190657, 0.542896, 130.0365

1000, 1.358214, 0.5356262, 139.5888

1000, 1.359747, 0.531214, 139.9257

1000, 1.360523, 0.529744, 140.0532

1000, 1.360523, 0.529744, 140.0532

1000, 1.362589, 0.7419367, 128.615

1000, 1.365971, 0.7478544, 128.4828

1000, 1.36981, 0.7571146, 128.2007

1000, 1.374655, 0.769852, 127.7911

1000, 1.380525, 0.7861882, 127.2499

1000, 1.380525, 0.7861882, 127.2499

1.688192, 1.387443, 0.8062761, 126.5722

1.43838, 1.840579, 0.8303024, 150.6263

1.243372, 1.857117, 0.8584887, 149.9166

0.8969602, 1.364817, 1.501301, 0

1000, 0.7356659, 0.7343407, 0

1000, 0.735788, 0.7342187, 0

1000, 0.735788, 0.7342187, 0

1000, 0.7359101, 0.7340966, 0

1000, 0.7360321, 0.7339745, 0

1000, 0.7361547, 0.7338524, 0

1000, 0.7362758, 0.7337304, 0

1000, 0.7363983, 0.7336083, 0

1000, 0.7363983, 0.7336083, 0

1000, 0.7365204, 0.7334862, 0

1000, 0.7366425, 0.7333642, 0

1000, 0.7367646, 0.7332421, 0

1000, 0.7368866, 0.73312, 0

1000, 0.7370087, 0.732998, 0

1000, 0.7370087, 0.732998, 0

1000, 0.7371308, 0.7328759, 0

1000, 0.7372524, 0.7327538, 0

1000, 0.7373749, 0.7326317, 0

1000, 0.737497, 0.7325097, 0

1000, 0.737619, 0.7323876, 0

1000, 0.737619, 0.7323876, 0

1000, 0.7377411, 0.7322656, 0

1000, 0.7378637, 0.7321435, 0

1000, 0.7379852, 0.7320214, 0

